COUNT;DATE;MONTH;YEAR;TIME;O(t);V(t);V(t-1)
1;19;5;2000;12:00:00AM;11.02;54;
2;19;5;2000;12:01:30AM;14.96;57;54
3;19;5;2000;12:03:00AM;9.84;44;57
4;19;5;2000;12:04:30AM;14.17;63;44
5;19;5;2000;12:06:00AM;11.02;48;63
6;19;5;2000;12:07:30AM;9.45;46;48
7;19;5;2000;12:09:00AM;22.05;62;46
8;19;5;2000;12:10:30AM;37.8;52;62
9;19;5;2000;12:12:00AM;14.17;51;52
10;19;5;2000;12:13:30AM;11.02;54;51
11;19;5;2000;12:15:00AM;11.81;56;54
12;19;5;2000;12:16:30AM;12.6;61;56
13;19;5;2000;12:18:00AM;12.21;55;61
14;19;5;2000;12:19:30AM;11.42;59;55
15;19;5;2000;12:21:00AM;5.51;27;59
16;19;5;2000;12:22:30AM;9.84;48;27
17;19;5;2000;12:24:00AM;12.21;56;48
18;19;5;2000;12:25:30AM;16.93;65;56
19;19;5;2000;12:27:00AM;16.54;76;65
20;19;5;2000;12:28:30AM;8.66;50;76
21;19;5;2000;12:30:00AM;14.96;68;50
22;19;5;2000;12:31:30AM;14.17;45;68
23;19;5;2000;12:33:00AM;8.66;45;45
24;19;5;2000;12:34:30AM;10.63;45;45
25;19;5;2000;12:36:00AM;9.45;50;45
26;19;5;2000;12:37:30AM;9.06;49;50
27;19;5;2000;12:39:00AM;10.63;52;49
28;19;5;2000;12:40:30AM;12.21;47;52
29;19;5;2000;12:42:00AM;10.63;57;47
30;19;5;2000;12:43:30AM;15.36;55;57
31;19;5;2000;12:45:00AM;9.45;49;55
32;19;5;2000;12:46:30AM;11.42;57;49
33;19;5;2000;12:48:00AM;14.57;63;57
34;19;5;2000;12:49:30AM;15.36;55;63
35;19;5;2000;12:51:00AM;10.63;53;55
36;19;5;2000;12:52:30AM;12.6;55;53
37;19;5;2000;12:54:00AM;7.48;40;55
38;19;5;2000;12:55:30AM;13.39;66;40
39;19;5;2000;12:57:00AM;8.66;47;66
40;19;5;2000;12:58:30AM;6.3;34;47
41;19;5;2000;1:00:00AM;12.99;60;34
42;19;5;2000;1:01:30AM;10.24;51;60
43;19;5;2000;1:03:00AM;9.45;48;51
44;19;5;2000;1:04:30AM;8.66;47;48
