vol40;occ40
2176;12.484
1871;9.161
1321;5.628
914;3.639
812;3.351
1341;8.364
2382;34.754
2542;58.638
2466;62.574
2026;56.674
2114;76.778
2571;53.278
2596;22.26
2400;24.45
2763;40.708
2783;59.866
3045;47.852
3109;30.191
3059;32.67
2819;43.723
3028;38.682
2949;34.043
2713;23.778
2550;18.227
2530;16.498
2357;13.808
1995;9.728
1523;6.453
1469;6.123
1487;8.086
1863;14.116
1981;12.782
2411;19.687
2518;34.426
2751;24.96
2680;27.12
2758;22.396
2705;24.142
2732;23.633
2545;18.918
2318;16.686
2759;22.836
2766;23.941
2645;25.381
47;0.592
98;0.864
2563;43.137
2286;14.472
2404;14.424
2730;18.256
2620;16.133
2409;13.387
2145;10.275
1690;10.814
1381;17.555
1243;7.404
1597;9.373
1971;15.691
2690;20.022
2689;45.97
2802;57.686
2808;38.423
2270;16.364
2209;13.18
2341;14.769
2621;18.035
2821;21.483
3056;26.246
3010;28.972
2907;23.518
2678;20.657
2595;16.019
2764;16.268
2236;11.793
1429;6.155
974;3.764
782;3.118
1203;6.689
2666;27.436
2593;28.753
2604;26.505
2703;28.224
2417;19.456
2309;19.301
2302;18.697
2424;20.359
2527;27.427
2626;23.902
2958;27.158
3002;28.771
2976;29.751
2702;28.511
2838;29.712
2774;19.831
2512;15.327
2265;12.494
1871;8.98
1318;5.982
808;3.226
547;2.17
584;2.313
1139;6.184
2586;27.638
2581;56.429
2651;26.649
2702;42.178
2577;38.452
2510;28.253
2735;55.977
2655;45.23
2581;38.894
2705;27.792
2560;20.829
2840;25.391
2688;23.307
2726;21.223
2893;30.307
2887;24.795
2614;23.326
2061;11.36
2043;11.351
1462;6.722
922;4.811
670;2.573
570;2.218
1141;6.357
2520;32.458
2564;41.438
2655;24.785
2470;30.768
2655;30.049
2511;24.748
2391;24.046
2529;21.579
2649;25.064
2751;24.151
2712;23.903
2855;26.929
2848;35.877
2767;57.235
2428;70.295
2670;66.397
2504;27.447
2094;12.167
2199;11.24
1563;7.576
984;4.168
775;3.159
645;2.774
1184;7.635
2548;37.559
2502;69.873
2675;30.913
2708;30.836
2585;29.52
2479;21.762
2385;27.013
2546;22.212
2567;22.3
2525;21.876
2684;21.77
2893;23.68
2836;26.544
2845;23.01
2935;28.905
2791;21.655
2556;23.787
2353;14.712
2272;13.349
1823;8.643
1216;5.176
968;3.821
795;3.247
1286;8.518
2692;23.978
2651;32.002
2608;26.069
2376;39.239
2918;48.966
2499;33.486
2426;23.442
2421;23.836
2614;23.749
2762;27.034
2817;25.237
3144;35.571
3083;35.311
2982;27.216
2952;29.329
2885;24.123
2635;20.09
2282;13.579
2319;14.069
2475;14.962
1988;9.614
1732;7.308
1462;6.113
1494;8.47
1841;19.83
2003;15.942
2330;15.681
2694;23.836
2685;31.373
2663;21.616
2653;20.666
2634;20.897
2551;21.117
2622;18.505
2295;14.636
2542;15.529
2810;20.964
2981;26.073
2946;26.11
2875;22.116
2771;20.878
2553;21.175
2619;18.486
2734;19.36
2651;16.748
2292;12.551
2031;10.237
1630;7.769
1407;11.994
1221;7.452
1681;9.997
2252;18.207
2464;19.154
2668;36.589
2762;21.189
2537;19.015
2466;18.582
2230;17.621
2441;15.048
2801;23.336
2875;46.249
2713;35.791
2700;19.773
2607;19.697
2565;19.917
2360;17.123
2095;11.13
1552;7.337
942;4.129
716;2.746
629;2.726
1263;7.26
2571;29.732
2406;58.493
2708;45.365
2592;26.313
2656;23.144
2373;19.793
2435;23.336
2469;26.092
2492;22.549
2732;35.887
3010;35.369
2938;24.32
2885;24.498
2910;25.065
2887;24.863
2829;26.726
2491;18.525
2159;12.676
1969;9.786
1422;6.521
894;3.687
616;2.382
566;2.362
1168;6.78
2580;23.206
2696;44.377
2724;25.122
2547;28.56
2519;22.952
2231;25.046
2453;25.295
2498;19.285
2511;22.971
2607;21.405
2687;23.029
2830;22.644
2741;21.809
2723;22.049
2967;46.412
2932;35.196
2572;17.594
2133;12.359
2059;10.967
1563;7.048
1033;4.84
729;2.79
595;2.366
1120;7.606
2288;49.274
2621;55.747
2731;33.496
2698;32.67
2627;32.441
2549;25.18
2479;30.653
2483;28.915
2665;27.465
2501;65.447
3024;30.327
3003;38.826
2119;83.078
2161;80.734
1626;89.849
1930;84.25
2799;46.479
2434;16.971
