purpose,gender,age,income,household,children,edu,occupation,ncars,scenario,choice,TT1,C1,WT1,TT2,C2,WT2,TT3,C3,WT3,TT4,C4,WT4,TT5,C5,WT5,choice_rainy,id_panel
4,2,2,3,2,2,5,6,1,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,1
4,1,3,1,2,0,3,3,3,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,2
3,2,3,1,1,2,3,4,0,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,3
3,2,6,3,1,1,4,6,3,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,2,4
5,1,6,3,2,2,3,5,2,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,5
1,1,4,2,1,0,4,2,4,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,6
1,1,6,3,3,0,6,6,1,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,7
3,2,5,1,2,0,1,6,3,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,8
4,2,5,3,1,1,4,6,3,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,2,9
4,1,4,1,2,2,5,1,3,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,10
2,1,5,1,1,1,4,6,4,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,11
4,2,3,2,3,0,5,6,1,1,3,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,12
3,1,2,3,3,0,3,6,0,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,13
5,2,5,1,3,0,3,4,2,1,4,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,1,14
4,1,3,3,2,2,2,4,4,1,5,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,5,15
2,2,6,2,1,1,5,1,0,1,2,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,4,16
5,1,5,2,2,1,6,3,3,1,1,25,8,10,45,15,0,45,0.6,3,25,7,0,40,5,5,3,17
