count;frame;lane;on_the_fly;over;Veh_ TypeM;Vm;Veh_ Type1;Veh_RL;V1;Veh_ Type0;Veh_ Type2;Veh_ Type3;platoon;sum_ platoon;d0;d1;d2;d3;opening;s_x;s_y;distancexy;V2;V3;helmet;passenger;dif;ttc;ttcc
1;75;0;1;0;0;71;2;1;69;2;1;2;0;0;28.4;35.6;0.5;1.7;1.8;1.6;4.9;5.2;64;75;1;0;2;5.1;5.1
2;75;1;0;0;0;63;2;1;69;2;2;2;0;0;28.4;21.3;0.5;1.7;1.8;0.1;6.6;6.6;71;75;0;0;-6;-1.933333333;0
3;105;1;1;0;0;63;1;0;64;1;2;2;0;0;48;52;17.1;1.6;17.2;3.3;7.2;7.9;55;63;1;0;-1;-12.9;0
4;555;1;0;1;1;65;1;1;39;0;2;1;0;0;255;63.6;0.8;1.6;1.8;0.4;12.6;12.6;62;36;1;0;26;0.676923077;0.676923077
5;955;1;1;1;0;76;1;0;55;1;0;1;0;0;32.2;255;34.5;255;257.3;3;5.7;6.4;0;52;1;0;21;0.542857143;0.542857143
6;3055;1;1;0;0;58;1;0;45;1;0;1;0;0;88.3;255;17.3;0.3;17.3;3.1;6.6;7.3;0;43;1;0;13;0.946153846;0.946153846
7;3205;1;1;0;0;54;1;0;53;1;2;2;0;0;23.6;84.2;28.6;255;256.6;1.6;12.2;12.3;44;72;1;0;1;17.3;17.3
8;3530;1;0;1;0;70;1;1;50;0;1;1;0;0;255;48.6;34.6;1.1;34.6;1.1;4.3;4.4;62;664;0;0;20;0.47;0.47
9;3880;1;0;0;0;63;1;1;68;1;1;1;0;0;36.5;25.4;19.1;1;19.1;1.2;5;5.1;64;50;1;0;-5;-2.02;0
10;4430;0;0;1;0;82;1;0;41;2;1;1;0;0;28.5;55.1;29.8;1.2;29.8;0.7;7.9;7.9;58;40;1;0;41;0.314634146;0.314634146
11;5555;1;1;1;1;63;1;0;58;0;0;1;0;0;255;255;39.6;1.2;39.6;3.1;7.3;7.9;0;60;1;0;5;2.58;2.58
