week22;avg_fuel_attica;tot_metro_valid
1;1.7182;2341596
2;1.7348;4151463
3;1.759;4439716
4;1.7796;2569046
5;1.81;4584155
6;1.8296;1876719
8;1.8648;3913406
9;1.9122;5069978
10;2.0414;4198603
11;2.0612;5092533
12;2.007;4258889
13;2.0438;5285507
14;2.0158;4418893
15;2.1968;5536429
16;2.0336;4197767
17;2.0488;3682417
18;2.1062;3621306
19;2.1616;5457081
20;2.2112;5261240
21;2.2404;5528727
22;2.273;5557364
23;2.354;5435330
24;2.3958;4936463
25;2.3734;4338519
26;2.3618;5285986
27;2.3438;5067029
